Season,Team,Goals,Opponent,Opponent Goals,Shots,Opponent Shots,Shots on Target,Opponent Shots on Target,Corners,Opponent Corners,Fouls Commited,Opponent Fouls Commited,Yellow Cards,Opponent Yellow Cards,Red Cards,Opponent Red Cards,position,played,won,drawn,lost,gf,ga,gd,points,Win Rate,Draw Rate,Loss Rate,Total Wins Last N,Total Losses Last N,Total Draws Last N,Recent Goals Scored,Recent Goals Conceded,Average Goals Scored,Average Goals Conceded
2014,1,2,2,1,8,11,4,5,5,3,9,12,2,2,0,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,12.0,8.0,2.4,1.6
2014,1,2,26,2,7,13,4,5,5,7,4,11,1,1,1,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,11.0,10.0,2.2,2.0
2014,1,0,27,1,10,8,2,4,4,3,11,13,1,3,0,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,8.0,5.0,1.6,1.0
2014,1,1,30,0,7,17,3,2,2,5,11,18,3,5,0,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,6.0,4.0,1.2,0.8
2014,1,0,8,6,12,21,5,11,1,7,8,14,1,0,1,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,5.0,10.0,1.0,2.0
2014,1,0,10,3,15,14,5,8,6,3,5,6,2,1,0,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,3.0,12.0,0.6,2.4
2014,1,3,13,0,12,13,6,4,0,7,7,10,1,1,0,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,4.0,10.0,0.8,2.0
2014,1,0,8,2,10,5,0,3,2,2,10,14,3,4,0,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,4.0,11.0,0.8,2.2
2014,1,2,27,3,15,13,6,4,9,3,14,17,2,3,1,0,4,38,24,7,7,68,41,27,79,0.6315789474,0.1842105263,0.1842105263,120.0,35.0,35.0,5.0,14.0,1.0,2.8
2014,17,1,27,0,26,10,11,4,12,6,11,11,1,1,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,122.0,34.0,34.0,6.0,8.0,1.2,1.6
2014,17,0,26,1,10,12,5,7,6,6,6,9,0,1,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,124.0,33.0,33.0,6.0,6.0,1.2,1.2
2014,17,4,32,1,18,15,7,3,3,9,14,11,0,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,126.0,32.0,32.0,7.0,7.0,1.4,1.4
2014,17,4,11,0,32,4,10,1,9,3,13,9,0,1,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,128.0,31.0,31.0,11.0,5.0,2.2,1.0
2014,17,3,7,1,27,10,7,3,9,5,11,13,2,0,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,12.0,3.0,2.4,0.6
2014,17,2,13,0,17,10,6,0,3,4,15,15,1,2,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,13.0,3.0,2.6,0.6
2014,17,2,2,2,14,12,6,3,2,3,14,18,1,4,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,15.0,4.0,3.0,0.8
2014,17,4,10,0,20,18,9,4,5,8,11,13,0,3,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,15.0,3.0,3.0,0.6
2014,17,4,29,3,21,14,10,5,3,5,9,11,1,0,0,0,2,38,26,6,6,101,50,51,84,0.6842105263,0.1578947368,0.1578947368,130.0,30.0,30.0,15.0,6.0,3.0,1.2
